,0
525,7.0
526,15.0
527,13.0
528,12.0
529,9.0
530,8.0
531,10.0
532,11.0
533,19.0
534,7.0
535,9.0
536,10.0
537,6.0
538,9.0
539,12.0
540,10.0
541,8.0
542,11.0
543,14.0
544,12.0
545,3.0
546,13.0
547,15.0
548,8.0
549,4.0
550,4.0
551,15.0
552,12.0
553,12.0
554,16.0
555,15.0
556,14.0
557,14.0
558,15.0
559,14.0
560,8.0
561,15.0
562,3.0
563,12.0
564,3.0
565,18.0
566,0.0
567,1.0
568,3.0
569,9.0
570,12.0
571,16.0
572,5.0
573,8.0
574,8.0
575,7.0
576,14.0
577,14.0
578,3.0
579,13.0
580,12.0
581,3.0
582,6.0
583,6.0
584,7.0
585,12.0
586,9.0
587,12.0
588,7.0
589,11.0
590,16.0
591,7.0
592,8.0
593,14.0
594,12.0
595,0.0
596,14.0
597,2.0
598,2.0
599,12.0
600,21.0
601,5.0
602,4.0
603,5.0
604,5.0
605,11.0
606,12.0
607,7.0
608,11.0
609,0.0
610,0.0
611,6.0
612,6.0
613,9.0
614,15.0
615,14.0
616,5.0
617,5.0
618,4.0
619,13.0
620,1.0
621,3.0
622,8.0
623,14.0
624,12.0
625,6.0
626,9.0
627,6.0
628,3.0
629,6.0
630,19.0
631,17.0
632,18.0
633,13.0
634,15.0
635,12.0
636,6.0
637,4.0
638,6.0
639,14.0
640,5.0
641,14.0
642,11.0
643,0.0
644,8.0
645,15.0
646,9.0
647,-1.0
648,0.0
649,8.0
650,7.0
651,21.0
652,5.0
653,9.0
654,7.0
655,12.0
656,3.0
657,12.0
658,3.0
659,5.0
660,11.0
661,3.0
662,9.0
663,10.0
664,7.0
665,8.0
666,5.0
667,14.0
668,9.0
669,4.0
670,12.0
671,16.0
672,15.0
673,13.0
674,7.0
675,5.0
676,11.0
677,9.0
678,1.0
679,0.0
680,18.0
681,15.0
682,16.0
683,17.0
684,9.0
685,11.0
686,6.0
687,12.0
688,11.0
689,9.0
690,11.0
691,11.0
692,3.0
693,13.0
694,15.0
695,13.0
696,11.0
697,15.0
698,1.0
699,4.0
700,4.0
701,13.0
702,8.0
703,5.0
704,12.0
705,11.0
706,11.0
707,3.0
708,2.0
709,14.0
710,6.0
711,14.0
712,14.0
713,2.0
714,4.0
715,11.0
716,21.0
717,6.0
718,5.0
719,13.0
720,4.0
721,15.0
722,9.0
723,1.0
724,13.0
725,21.0
726,2.0
727,11.0
728,10.0
729,8.0
730,11.0
731,2.0
732,9.0
733,10.0
734,14.0
735,9.0
736,10.0
737,7.0
738,9.0
739,3.0
740,15.0
741,6.0
742,9.0
743,5.0
744,14.0
745,17.0
746,10.0
747,5.0
748,6.0
749,10.0
750,10.0
751,8.0
752,13.0
753,10.0
754,11.0
755,14.0
756,13.0
757,20.0
758,17.0
759,3.0
760,8.0
761,13.0
762,17.0
763,17.0
764,1.0
765,19.0
766,14.0
767,15.0
768,21.0
769,9.0
770,19.0
771,12.0
772,6.0
773,13.0
774,14.0
775,11.0
776,10.0
777,0.0
778,12.0
779,20.0
780,12.0
781,9.0
782,11.0
783,11.0
784,8.0
785,3.0
786,7.0
787,6.0
788,6.0
789,14.0
790,-1.0
791,13.0
792,9.0
793,13.0
794,15.0
795,10.0
796,18.0
797,14.0
798,10.0
799,8.0
800,8.0
801,6.0
802,10.0
803,12.0
804,7.0
805,11.0
806,10.0
807,5.0
808,11.0
809,17.0
810,9.0
811,16.0
812,14.0
813,17.0
814,16.0
815,10.0
816,14.0
817,3.0
818,13.0
819,14.0
820,13.0
821,15.0
822,8.0
823,11.0
824,17.0
825,9.0
826,8.0
827,3.0
828,13.0
829,3.0
830,10.0
831,12.0
832,4.0
833,18.0
834,12.0
835,2.0
836,18.0
837,11.0
838,3.0
839,15.0
840,10.0
841,10.0
842,7.0
843,2.0
844,-1.0
845,2.0
846,9.0
847,15.0
848,6.0
849,18.0
850,1.0
851,13.0
852,8.0
853,3.0
854,14.0
855,3.0
856,12.0
857,6.0
858,11.0
859,5.0
860,6.0
861,9.0
862,15.0
863,9.0
864,13.0
865,7.0
866,8.0
867,-1.0
868,3.0
869,11.0
870,9.0
871,10.0
872,8.0
873,5.0
874,13.0
875,11.0
876,17.0
877,7.0
878,3.0
879,9.0
880,13.0
881,15.0
882,18.0
883,4.0
884,8.0
885,9.0
886,13.0
887,4.0
888,13.0
889,2.0
890,12.0
891,6.0
892,10.0
893,9.0
894,5.0
895,17.0
896,17.0
897,12.0
898,12.0
899,17.0
900,5.0
901,9.0
902,13.0
903,11.0
904,6.0
905,14.0
906,11.0
907,20.0
908,13.0
909,11.0
910,9.0
911,12.0
912,9.0
913,8.0
914,10.0
915,15.0
916,12.0
917,13.0
918,18.0
919,3.0
920,10.0
921,1.0
922,12.0
923,3.0
924,12.0
925,10.0
926,3.0
927,8.0
928,18.0
929,12.0
930,10.0
931,4.0
932,9.0
933,5.0
934,11.0
935,8.0
936,12.0
937,2.0
938,7.0
939,13.0
940,4.0
941,19.0
942,11.0
943,10.0
944,6.0
945,12.0
946,7.0
947,13.0
948,13.0
949,13.0
950,3.0
951,12.0
952,3.0
953,1.0
954,6.0
955,0.0
956,17.0
957,6.0
958,13.0
959,6.0
960,10.0
961,6.0
962,9.0
963,16.0
964,15.0
965,13.0
966,13.0
967,5.0
968,5.0
969,7.0
970,4.0
971,13.0
972,10.0
973,10.0
974,10.0
975,9.0
976,11.0
977,16.0
978,15.0
979,15.0
980,12.0
981,14.0
982,9.0
983,4.0
984,16.0
985,1.0
986,11.0
987,15.0
988,13.0
989,5.0
990,3.0
991,13.0
992,7.0
993,16.0
994,9.0
995,15.0
996,9.0
997,24.0
998,12.0
999,17.0
1000,19.0
1001,17.0
1002,17.0
1003,9.0
1004,8.0
1005,6.0
1006,9.0
1007,5.0
1008,12.0
1009,13.0
1010,7.0
1011,7.0
1012,17.0
1013,17.0
1014,15.0
1015,15.0
1016,16.0
1017,5.0
1018,7.0
1019,14.0
1020,16.0
1021,9.0
1022,7.0
1023,14.0
1024,4.0
1025,14.0
1026,12.0
1027,20.0
1028,10.0
1029,20.0
1030,8.0
1031,17.0
1032,7.0
1033,8.0
1034,13.0
1035,9.0
1036,7.0
1037,15.0
1038,19.0
1039,16.0
1040,13.0
1041,8.0
1042,19.0
1043,19.0
1044,10.0
1045,14.0
1046,14.0
1047,12.0
1048,18.0
1049,16.0
1050,17.0
1051,13.0
1052,12.0
1053,15.0
1054,13.0
1055,11.0
1056,12.0
1057,10.0
1058,17.0
1059,19.0
1060,18.0
1061,6.0
1062,17.0
1063,12.0
1064,20.0
1065,8.0
1066,21.0
1067,19.0
1068,13.0
1069,16.0
1070,11.0
1071,19.0
