,0
529,18.0
530,16.0
531,15.0
532,13.0
533,7.0
534,14.0
535,16.0
536,13.0
537,18.0
538,8.0
539,19.0
540,19.0
541,16.0
542,12.0
543,3.0
544,8.0
545,7.0
546,12.0
547,13.0
548,16.0
549,14.0
550,10.0
551,14.0
552,17.0
553,8.0
554,19.0
555,15.0
556,9.0
557,10.0
558,16.0
559,21.0
560,17.0
561,18.0
562,14.0
563,13.0
564,14.0
565,15.0
566,8.0
567,13.0
568,12.0
569,13.0
570,12.0
571,10.0
572,16.0
573,14.0
574,16.0
575,15.0
576,15.0
577,16.0
578,9.0
579,18.0
580,9.0
581,18.0
582,8.0
583,11.0
584,10.0
585,6.0
586,19.0
587,14.0
588,19.0
589,9.0
590,14.0
591,7.0
592,19.0
593,12.0
594,22.0
595,15.0
596,10.0
597,15.0
598,11.0
599,15.0
600,16.0
601,11.0
602,14.0
603,14.0
604,19.0
605,11.0
606,14.0
607,12.0
608,14.0
609,4.0
610,18.0
611,16.0
612,18.0
613,19.0
614,12.0
615,12.0
616,12.0
617,11.0
618,13.0
619,13.0
620,13.0
621,17.0
622,15.0
623,20.0
624,14.0
625,10.0
626,9.0
627,12.0
628,8.0
629,19.0
630,18.0
631,5.0
632,10.0
633,10.0
634,16.0
635,15.0
636,11.0
637,16.0
638,10.0
639,13.0
640,8.0
641,14.0
642,20.0
643,12.0
644,14.0
645,8.0
646,14.0
647,22.0
648,19.0
649,15.0
650,18.0
651,14.0
652,14.0
653,17.0
654,7.0
655,15.0
656,18.0
657,16.0
658,14.0
659,20.0
660,20.0
661,14.0
662,8.0
663,18.0
664,15.0
665,7.0
666,7.0
667,6.0
668,24.0
669,16.0
670,10.0
671,9.0
672,17.0
673,20.0
674,7.0
675,18.0
676,17.0
677,12.0
678,11.0
679,12.0
680,7.0
681,19.0
682,19.0
683,18.0
684,18.0
685,20.0
686,16.0
687,19.0
688,11.0
689,13.0
690,24.0
691,11.0
692,11.0
693,15.0
694,10.0
695,16.0
696,17.0
697,15.0
698,13.0
699,20.0
700,18.0
701,14.0
702,13.0
703,16.0
704,19.0
705,17.0
706,13.0
